trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,11,-21.429066984880844,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,3,-18.967259943000133,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",30,0,-50.7435580192677,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,13,10.586596940319813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",25,2,1.4684303149343578,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,13,-7.036224102289005,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",30,6,-92.36448499969921,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",20,1,-6.450191136173791,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,0,-9.46016582198026,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",20,4,15.05819148239324,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,0,18.555406710386166,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,12,1.703503401265588,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,16,7.033552970390863,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,17,-5.4039170448624905,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
